户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室1厅1卫,45.62,南北,中,,,无 ,商品房,普通住宅,,塔楼,城关,0,115.0,25208.0
3室2厅1卫,110.0,南北,中,精装修,2009,有 ,商品房(免税),普通住宅,平层,板楼,城关,1,130.0,11818.0
2室2厅1卫,100.8,南,中,精装修,2012,有 ,商品房,普通住宅,平层,板楼,城关,0,130.0,12897.0
2室1厅1卫,80.0,南北,中,,,有 ,,,,,城关,0,92.0,11500.0
2室2厅1卫,103.0,南北,中,精装修,2010,无 ,个人产权,普通住宅,平层,板楼,城关,1,135.0,13107.0
3室2厅1卫,111.0,南北,中,简装修,2005,有 ,商品房,,,板楼,城关,1,175.0,15766.0
2室2厅1卫,97.0,南北,高,中装修,,无 ,个人产权,普通住宅,平层,钢混,城关,0,170.0,17526.0
2室2厅1卫,82.37,南北,中,精装修,2004,有 ,商品房,普通住宅,平层,板楼,城关,1,98.0,11898.0
2室2厅1卫,73.0,南,高,精装修,2006,有 ,个人产权,普通住宅,平层,板楼,安宁,0,96.5,13219.0
3室2厅1卫,126.45,东西,中,简装修,2000,有 ,个人产权,普通住宅,平层,钢混,城关,1,152.0,12021.0
3室2厅1卫,104.12,南,中,,2014,无 ,商品房,普通住宅,平层,板楼,安宁,0,140.0,13446.0
3室2厅2卫,123.38,南北,低,,,无 ,,,,,城关,0,110.0,8916.0
3室2厅2卫,148.0,南北,高,,,有 ,,,,,城关,0,130.0,8784.0
2室2厅1卫,67.44,东西,高,精装修,,有 ,个人产权,普通住宅,平层,钢混,城关,1,72.0,10676.0
3室2厅1卫,107.0,南北,中,精装修,2020,有 ,商品房,普通住宅,,板楼,安宁,0,139.0,12991.0
3室2厅2卫,128.72,南北,低,精装修,2013,有 ,个人产权,普通住宅,平层,板楼,七里河,1,152.0,11809.0
3室2厅1卫,107.14,南北,低,,,无 ,,,,,安宁,0,109.0,10174.0
2室1厅1卫,74.28,南,低,简装修,2000,有 ,商品房,,,板楼,城关,0,89.0,11982.0
3室1厅1卫,63.0,南北,中,,,有 ,,,,,城关,0,58.0,9206.0
3室2厅1卫,117.0,南北,中,,,有 ,,,,,榆中,0,101.0,8632.0
2室2厅1卫,91.16,东南,低,精装修,2001,有 ,个人产权,普通住宅,平层,钢混,七里河,1,118.0,12944.0
1室0厅1卫,45.09,南,高,简装修,2000,有 ,商品房(免税),普通住宅,平层,板楼,七里河,1,70.0,15525.0
3室2厅2卫,117.0,南北,低,,,无 ,,,,,榆中,0,69.0,5897.0
2室1厅1卫,80.0,南,中,简装修,2012,有 ,个人产权,,平层,塔板结合,城关,1,103.0,12875.0
2室1厅1卫,67.17,东西,低,中装修,2004,无 ,个人产权,普通住宅,平层,板楼,安宁,0,70.0,10421.0
3室2厅1卫,94.0,南北,中,精装修,2020,有 ,商品房(免税),普通住宅,平层,板楼,榆中,0,62.0,6596.0
2室2厅1卫,98.0,南北,低,精装修,2013,有 ,商品房(免税),普通住宅,平层,板楼,城关,0,129.0,13163.0
3室2厅1卫,135.1,南北,低,精装修,2009,有 ,个人产权,普通住宅,平层,板楼,城关,1,180.0,13323.0
2室2厅1卫,96.1,东,低,精装修,2002,有 ,个人产权,普通住宅,平层,板楼,城关,1,126.0,13111.0
3室2厅1卫,108.7,南北,高,简装修,2004,有 ,个人产权,普通住宅,平层,板楼,城关,1,98.0,9016.0
2室2厅1卫,104.38,西南,高,精装修,2012,有 ,商品房,,,板楼,城关,1,168.0,16095.0
2室2厅1卫,96.14,南,低,毛坯,2016,有 ,商品房,普通住宅,平层,板楼,西固,0,117.0,12170.0
2室2厅1卫,93.69,东南,低,,,无 ,,,,,西固,1,98.0,10460.0
2室2厅1卫,94.0,南北,高,精装修,2012,有 ,商品房,普通住宅,,板楼,七里河,1,137.9,14670.0
1室1厅1卫,71.59,东南,高,简装修,2010,有 ,商品房,普通住宅,,板楼,安宁,1,98.0,13689.0
2室2厅1卫,85.4,东西,中,简装修,2002,无 ,个人产权,普通住宅,平层,钢混,安宁,1,93.0,10890.0
2室1厅1卫,100.0,南,高,中装修,2010,有 ,个人产权,普通住宅,,,城关,1,149.0,14900.0
3室2厅2卫,119.91,南北,低,,,无 ,,,,,安宁,0,132.0,11008.0
3室2厅2卫,100.0,南北,低,精装修,2015,有 ,个人产权,普通住宅,平层,板楼,城关,0,112.0,11200.0
3室2厅2卫,164.0,南北,中,毛坯,2015,有 ,商品房,普通住宅,平层,板楼,城关,0,181.0,11037.0
2室0厅1卫,58.0,南,低,简装修,2000,无 ,个人产权,普通住宅,平层,板楼,城关,0,63.0,10862.0
2室2厅1卫,82.26,南北,高,中装修,2002,无 ,个人产权,普通住宅,平层,钢混,七里河,1,93.0,11306.0
2室2厅1卫,103.0,南北,中,精装修,2005,无 ,商品房,普通住宅,平层,板楼,城关,1,135.0,13107.0
3室2厅2卫,123.53,东北,中,精装修,2012,有 ,个人产权,普通住宅,平层,板楼,城关,1,195.0,15786.0
2室2厅1卫,70.0,西,低,简装修,2001,无 ,个人产权,普通住宅,平层,钢混,城关,0,86.0,12286.0
2室2厅1卫,102.0,南,高,精装修,2012,有 ,商品房,普通住宅,,板楼,安宁,0,143.8,14098.0
2室1厅1卫,88.0,南北,低,,,无 ,,,,,七里河,0,100.0,11364.0
2室2厅1卫,109.0,西北,高,精装修,2008,有 ,个人产权,普通住宅,平层,塔楼,城关,1,140.0,12844.0
2室2厅1卫,99.83,东南,低,精装修,2009,有 ,商品房,普通住宅,,板楼,七里河,0,122.8,12301.0
3室2厅2卫,116.0,南北,中,毛坯,2022,有 ,个人产权,普通住宅,平层,塔楼,城关,0,148.0,12759.0
